Date,Time,Time(s),O2 Charge
2019-05-22,16:19:08,0,0
2019-05-22,16:19:18,10,-0.06046
2019-05-22,16:19:28,20,0.02145
2019-05-22,16:19:38,30,-0.02599
2019-05-22,16:19:49,41,0.01621
2019-05-22,16:19:58,50,0.01607
2019-05-22,16:20:09,61,-0.02187
2019-05-22,16:20:19,71,0.10472
2019-05-22,16:20:29,81,-0.11542
2019-05-22,16:20:39,91,0.03237
2019-05-22,16:20:49,101,-0.01367
2019-05-22,16:20:59,111,-0.10191
2019-05-22,16:21:09,121,-0.00686
2019-05-22,16:21:19,131,-0.00686
2019-05-22,16:21:29,141,-0.13715
2019-05-22,16:21:39,151,-0.04445
2019-05-22,16:21:49,161,-0.04445
2019-05-22,16:21:59,171,0.04372
2019-05-22,16:22:09,181,0.03479
2019-05-22,16:22:19,191,0.0416
2019-05-22,16:22:29,201,0.1772
2019-05-22,16:22:39,211,0.00313
2019-05-22,16:22:49,221,0.1772
2019-05-22,16:22:59,231,0.08754
2019-05-22,16:23:09,241,0.13294
2019-05-22,16:23:19,251,0.07867
2019-05-22,16:23:29,261,0.09073
2019-05-22,16:23:39,271,0.17514
2019-05-22,16:23:49,281,0.17001
2019-05-22,16:23:59,291,-0.0011
2019-05-22,16:24:09,301,0.29296
2019-05-22,16:24:19,311,0.17143
2019-05-22,16:24:29,321,0.38768
2019-05-22,16:24:39,331,0.2206
2019-05-22,16:24:49,341,0.34722
2019-05-22,16:24:59,351,0.38943
2019-05-22,16:25:09,361,0.14861
2019-05-22,16:25:20,372,0.30833
2019-05-22,16:25:30,382,0.29262
2019-05-22,16:25:40,392,0.35054
2019-05-22,16:25:50,402,0.30833
2019-05-22,16:26:00,412,0.38069
2019-05-22,16:26:10,422,0.38769
2019-05-22,16:26:20,432,0.46511
2019-05-22,16:26:30,442,0.38407
2019-05-22,16:26:40,452,0.56158
2019-05-22,16:26:50,462,0.51937
2019-05-22,16:27:00,472,0.4299
2019-05-22,16:27:10,482,0.56708
2019-05-22,16:27:20,492,0.51572
2019-05-22,16:27:30,502,0.51432
2019-05-22,16:27:40,512,0.47402
2019-05-22,16:27:50,522,0.5107
2019-05-22,16:28:00,532,0.60718
2019-05-22,16:28:10,542,0.6108
2019-05-22,16:28:20,552,0.50707
2019-05-22,16:28:30,562,0.55844
2019-05-22,16:28:40,572,0.55844
2019-05-22,16:28:50,582,0.64576
2019-05-22,16:29:00,592,0.55635
2019-05-22,16:29:10,602,0.73381
2019-05-22,16:29:20,612,0.56192
2019-05-22,16:29:30,622,0.52109
2019-05-22,16:29:40,632,0.56192
2019-05-22,16:29:50,642,0.60413
2019-05-22,16:30:00,652,0.69354
2019-05-22,16:30:11,663,0.68499
2019-05-22,16:30:20,672,0.78156
2019-05-22,16:30:31,683,0.7252
2019-05-22,16:30:41,693,0.68856
2019-05-22,16:30:51,703,0.82168
2019-05-22,16:31:01,713,0.7272
2019-05-22,16:31:11,723,0.82168
2019-05-22,16:31:21,733,0.91168
2019-05-22,16:31:31,743,0.69348
2019-05-22,16:31:41,753,0.82229
2019-05-22,16:31:51,763,0.89399
2019-05-22,16:32:01,773,0.82726
2019-05-22,16:32:11,783,0.98198
2019-05-22,16:32:21,793,0.90811
2019-05-22,16:32:31,803,0.94539
2019-05-22,16:32:41,813,0.90811
2019-05-22,16:32:51,823,1.02777
2019-05-22,16:33:01,833,0.8152
2019-05-22,16:33:11,843,0.91523
2019-05-22,16:33:21,853,0.99254
2019-05-22,16:33:31,863,0.90454
2019-05-22,16:33:41,873,1.03269
2019-05-22,16:33:51,883,1.07847
2019-05-22,16:34:01,893,1.02981
2019-05-22,16:34:11,903,1.04542
2019-05-22,16:34:21,913,1.07847
2019-05-22,16:34:31,923,1.07564
2019-05-22,16:34:41,933,1.02627
2019-05-22,16:34:51,943,1.10505
2019-05-22,16:35:01,953,1.11424
2019-05-22,16:35:11,963,1.15646
2019-05-22,16:35:21,973,1.1263
2019-05-22,16:35:31,983,1.12138
2019-05-22,16:35:42,994,1.08055
2019-05-22,16:35:52,1004,1.11424
2019-05-22,16:36:02,1014,1.02273
2019-05-22,16:36:12,1024,1.16498
2019-05-22,16:36:22,1034,1.28597
2019-05-22,16:36:32,1044,1.19867
2019-05-22,16:36:42,1054,1.0614
2019-05-22,16:36:52,1064,1.19309
2019-05-22,16:37:02,1074,1.16498
2019-05-22,16:37:12,1084,1.20229
2019-05-22,16:37:22,1094,1.19083
2019-05-22,16:37:32,1104,1.23531
2019-05-22,16:37:42,1114,1.15088
2019-05-22,16:37:52,1124,1.28239
2019-05-22,16:38:02,1134,1.2494
2019-05-22,16:38:12,1144,1.24586
2019-05-22,16:38:22,1154,1.24232
2019-05-22,16:38:32,1164,1.32104
2019-05-22,16:38:42,1174,1.27398
2019-05-22,16:38:52,1184,1.45844
2019-05-22,16:39:02,1194,1.40416
2019-05-22,16:39:12,1204,1.31974
2019-05-22,16:39:22,1214,1.41268
2019-05-22,16:39:32,1224,1.36764
2019-05-22,16:39:42,1234,1.37267
2019-05-22,16:39:52,1244,1.27043
2019-05-22,16:40:02,1254,1.45844
2019-05-22,16:40:12,1264,1.45844
2019-05-22,16:40:22,1274,1.41268
2019-05-22,16:40:32,1284,1.37047
2019-05-22,16:40:42,1294,1.48989
2019-05-22,16:40:53,1305,1.4549
2019-05-22,16:41:03,1315,1.49711
2019-05-22,16:41:13,1325,1.41268
2019-05-22,16:41:23,1335,1.62375
2019-05-22,16:41:33,1345,1.45135
2019-05-22,16:41:43,1355,1.48505
2019-05-22,16:41:53,1365,1.41488
2019-05-22,16:42:03,1375,1.44303
2019-05-22,16:42:13,1385,1.53578
2019-05-22,16:42:23,1395,1.40559
2019-05-22,16:42:33,1405,1.49357
2019-05-22,16:42:43,1415,1.44654
2019-05-22,16:42:53,1425,1.57671
2019-05-22,16:43:03,1435,1.53098
2019-05-22,16:43:13,1445,1.62021
2019-05-22,16:43:23,1455,1.578
2019-05-22,16:43:33,1465,1.62375
2019-05-22,16:43:43,1475,1.56868
2019-05-22,16:43:53,1485,1.62021
2019-05-22,16:44:03,1495,1.82553
2019-05-22,16:44:13,1505,1.74468
2019-05-22,16:44:23,1515,1.65391
2019-05-22,16:44:33,1525,1.62021
2019-05-22,16:44:43,1535,1.62021
2019-05-22,16:44:53,1545,1.69984
2019-05-22,16:45:03,1555,1.83855
2019-05-22,16:45:13,1565,1.83483
2019-05-22,16:45:23,1575,1.69984
2019-05-22,16:45:33,1585,1.7363
2019-05-22,16:45:43,1595,1.77852
2019-05-22,16:45:53,1605,1.78076
2019-05-22,16:46:04,1616,1.78427
2019-05-22,16:46:14,1626,1.81719
2019-05-22,16:46:23,1635,1.78349
2019-05-22,16:46:34,1646,1.87146
2019-05-22,16:46:44,1656,1.87501
2019-05-22,16:46:54,1666,1.78553
2019-05-22,16:47:04,1676,1.73854
2019-05-22,16:47:14,1686,1.8594
2019-05-22,16:47:24,1696,1.91368
2019-05-22,16:47:34,1706,1.95943
2019-05-22,16:47:44,1716,1.86417
2019-05-22,16:47:54,1726,1.92298
2019-05-22,16:48:04,1736,1.74708
2019-05-22,16:48:14,1746,1.95816
2019-05-22,16:48:24,1756,2.07047
2019-05-22,16:48:34,1766,1.77724
2019-05-22,16:48:44,1776,1.98983
2019-05-22,16:48:54,1786,1.86519
2019-05-22,16:49:04,1796,1.96168
2019-05-22,16:49:14,1806,--
2019-05-22,16:49:36,1828,--
2019-05-22,16:49:36,1828,-0.63979
2019-05-22,16:49:46,1838,-0.63298
2019-05-22,16:49:56,1848,-0.74978
2019-05-22,16:50:06,1858,-0.67957
2019-05-22,16:50:16,1868,-0.64467
2019-05-22,16:50:26,1878,-0.75403
2019-05-22,16:50:36,1888,-0.6274
2019-05-22,16:50:46,1898,-0.76128
2019-05-22,16:50:56,1908,-0.84043
2019-05-22,16:51:06,1918,-0.5466
2019-05-22,16:51:16,1928,-0.67686
2019-05-22,16:51:26,1938,-0.67008
2019-05-22,16:51:36,1948,-0.72113
2019-05-22,16:51:47,1959,-0.71415
2019-05-22,16:51:57,1969,-0.63314
2019-05-22,16:52:07,1979,-0.66837
2019-05-22,16:52:17,1989,-0.62615
2019-05-22,16:52:27,1999,-0.71937
2019-05-22,16:52:37,2009,-0.71772
2019-05-22,16:52:47,2019,-0.54379
2019-05-22,16:52:57,2029,-0.58601
2019-05-22,16:53:07,2039,-0.59627
2019-05-22,16:53:17,2049,-0.6807
2019-05-22,16:53:27,2059,-0.58958
2019-05-22,16:53:37,2069,-0.62996
2019-05-22,16:53:47,2079,-0.67218
2019-05-22,16:53:57,2089,-0.63536
2019-05-22,16:54:07,2099,-0.64203
2019-05-22,16:54:17,2109,-0.5929
2019-05-22,16:54:27,2119,-0.64203
2019-05-22,16:54:37,2129,-0.55609
2019-05-22,16:54:47,2139,-0.55069
2019-05-22,16:54:57,2149,-0.4752
2019-05-22,16:55:07,2159,-0.62996
2019-05-22,16:55:17,2169,-0.54214
2019-05-22,16:55:27,2179,-0.41889
2019-05-22,16:55:37,2189,-0.3783
2019-05-22,16:55:47,2199,-0.5929
2019-05-22,16:55:57,2209,-0.38534
2019-05-22,16:56:07,2219,-0.34344
2019-05-22,16:56:17,2229,-0.3028
2019-05-22,16:56:27,2239,-0.46669
2019-05-22,16:56:37,2249,-0.24853
2019-05-22,16:56:47,2259,-0.37517
2019-05-22,16:56:58,2270,-0.37328
2019-05-22,16:57:08,2280,-0.37679
2019-05-22,16:57:18,2290,-0.34664
2019-05-22,16:57:28,2300,-0.39237
2019-05-22,16:57:38,2310,-0.30091
2019-05-22,16:57:48,2320,-0.38226
2019-05-22,16:57:58,2330,-0.33966
2019-05-22,16:58:08,2340,-0.34359
2019-05-22,16:58:18,2350,-0.21497
2019-05-22,16:58:28,2360,-0.25718
2019-05-22,16:58:38,2370,-0.16764
2019-05-22,16:58:48,2380,-0.1622
2019-05-22,16:58:58,2390,-0.2607
2019-05-22,16:59:08,2400,-0.30643
2019-05-22,16:59:18,2410,-0.21694
2019-05-22,16:59:28,2420,-0.12508
2019-05-22,16:59:38,2430,-0.07977
2019-05-22,16:59:48,2440,-0.21145
2019-05-22,16:59:58,2450,-0.07977
2019-05-22,17:00:08,2460,-0.09184
2019-05-22,17:00:18,2470,-0.04107
2019-05-22,17:00:28,2480,-0.12857
2019-05-22,17:00:38,2490,-0.08329
2019-05-22,17:00:48,2500,-0.08329
2019-05-22,17:00:58,2510,-0.08636
2019-05-22,17:01:08,2520,-0.13405
2019-05-22,17:01:18,2530,-0.12551
2019-05-22,17:01:28,2540,-0.07429
2019-05-22,17:01:38,2550,-0.08984
2019-05-22,17:01:48,2560,0.00665
2019-05-22,17:01:58,2570,0.04887
2019-05-22,17:02:09,2581,0.00316
2019-05-22,17:02:19,2591,0.00665
2019-05-22,17:02:29,2601,-0.0406
2019-05-22,17:02:39,2611,-0.00739
2019-05-22,17:02:49,2621,0.09109
2019-05-22,17:02:59,2631,0.08053
2019-05-22,17:03:09,2641,0.03483
2019-05-22,17:03:19,2651,0.09109
2019-05-22,17:03:29,2661,-0.04407
2019-05-22,17:03:39,2671,-3.26079E-4
2019-05-22,17:03:49,2681,0.12827
2019-05-22,17:03:59,2691,0.21925
2019-05-22,17:04:09,2701,0.13132
2019-05-22,17:04:19,2711,0.13132
2019-05-22,17:04:29,2721,0.08259
2019-05-22,17:04:39,2731,0.08965
2019-05-22,17:04:49,2741,0.09465
2019-05-22,17:04:59,2751,0.16357
2019-05-22,17:05:09,2761,0.13341
2019-05-22,17:05:19,2771,0.09465
2019-05-22,17:05:29,2781,0.22131
2019-05-22,17:05:39,2791,0.20925
2019-05-22,17:05:49,2801,0.25297
2019-05-22,17:05:59,2811,0.16703
2019-05-22,17:06:09,2821,0.26353
2019-05-22,17:06:19,2831,0.21631
2019-05-22,17:06:29,2841,0.08621
2019-05-22,17:06:39,2851,0.30228
2019-05-22,17:06:49,2861,0.21785
2019-05-22,17:06:59,2871,0.25853
2019-05-22,17:07:09,2881,0.30075
2019-05-22,17:07:19,2891,0.26007
2019-05-22,17:07:29,2901,0.26353
2019-05-22,17:07:40,2912,0.47613
2019-05-22,17:07:50,2922,0.21785
2019-05-22,17:08:00,2932,0.24951
2019-05-22,17:08:10,2942,0.2215
2019-05-22,17:08:20,2952,0.29173
2019-05-22,17:08:30,2962,0.33954
2019-05-22,17:08:40,2972,0.33954
2019-05-22,17:08:50,2982,0.3445
2019-05-22,17:09:00,2992,0.47267
2019-05-22,17:09:10,3002,0.38823
2019-05-22,17:09:20,3012,0.43045
2019-05-22,17:09:30,3022,0.60278
2019-05-22,17:09:40,3032,0.33954
2019-05-22,17:09:50,3042,0.42548
2019-05-22,17:10:00,3052,0.42699
2019-05-22,17:10:10,3062,0.4677
2019-05-22,17:10:20,3072,0.47267
2019-05-22,17:10:30,3082,0.5571
2019-05-22,17:10:40,3092,0.59222
2019-05-22,17:10:50,3102,0.42699
2019-05-22,17:11:00,3112,0.50992
2019-05-22,17:11:10,3122,0.46574
2019-05-22,17:11:20,3132,0.47482
2019-05-22,17:11:30,3142,0.52048
2019-05-22,17:11:40,3152,0.56057
2019-05-22,17:11:50,3162,0.60643
2019-05-22,17:12:00,3172,0.51142
2019-05-22,17:12:10,3182,0.54871
2019-05-22,17:12:20,3192,0.55018
2019-05-22,17:12:30,3202,0.64154
2019-05-22,17:12:40,3212,0.50305
2019-05-22,17:12:51,3223,0.6803
2019-05-22,17:13:01,3233,0.64154
2019-05-22,17:13:11,3243,0.63315
2019-05-22,17:13:21,3253,0.50796
2019-05-22,17:13:31,3263,0.59586
2019-05-22,17:13:41,3273,0.59093
2019-05-22,17:13:51,3283,0.59093
2019-05-22,17:14:01,3293,0.76474
2019-05-22,17:14:11,3303,0.76474
2019-05-22,17:14:21,3313,0.67537
2019-05-22,17:14:31,3323,0.76695
2019-05-22,17:14:41,3333,0.67194
2019-05-22,17:14:51,3343,0.72252
2019-05-22,17:15:01,3353,0.76474
2019-05-22,17:15:11,3363,0.81042
2019-05-22,17:15:21,3373,0.7986
